id,title,description,creationDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,itemtags,assignedUserIds,projectId,totalTimeSpent
2252,Write unit tests,Cover business logic with JUnit,2025-04-29,2025-05-04,2025-05-24,,169,IN_PROGRESS,HIGH,35.4,testing,"user41, user27, user7",14,96
2253,Implement API endpoint,Develop REST endpoint for user service,2025-04-08,2025-04-09,2025-04-29,2025-04-26,644,DONE,LOW,100.0,backend,user49,64,716
2254,Immediate API fix,Resolve endpoint failure immediately,2024-11-13,2024-11-17,2024-12-05,,607,IN_PROGRESS,LOW,20.0,urgent,"user2, user22, user6",33,290
2255,Configure Docker,Containerize the application,2025-01-20,2025-01-20,2025-01-31,,1676,TO_DO,LOW,0.0,devops,"user12, user32, user49",86,0
2256,Add rate limiting,Protect endpoints with request limits,2025-01-24,2025-01-25,2025-01-28,2025-01-26,411,DONE,MEDIUM,100.0,api,"user38, user33, user22",30,478
2257,Document API,Write OpenAPI docs for endpoints,2024-12-22,2024-12-26,2025-01-10,2025-01-08,106,DONE,MEDIUM,100.0,api,"user48, user39",1,124
2258,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-11-23,2024-11-27,2024-12-17,,966,TO_DO,LOW,0.0,devops,"user28, user42",60,0
2259,Write unit tests,Cover business logic with JUnit,2024-12-04,2024-12-04,2024-12-13,,454,IN_PROGRESS,MEDIUM,71.9,testing,"user47, user44",2,297
2260,Debug memory leak,Track and fix memory usage issue,2024-12-15,2024-12-20,2024-12-23,,369,TO_DO,LOW,0.0,bug,"user42, user11, user23",39,0
2261,Fix login bug,Resolve null pointer in login logic,2024-11-30,2024-12-03,2024-12-22,2024-12-22,456,DONE,CRITICAL,100.0,bug,"user48, user42",91,406
2262,Configure Docker,Containerize the application,2025-01-06,2025-01-07,2025-01-20,,2146,TO_DO,LOW,0.0,devops,user44,25,0
2263,Implement API endpoint,Develop REST endpoint for user service,2025-02-07,2025-02-08,2025-02-25,,634,TO_DO,MEDIUM,0.0,backend,"user41, user30, user50",39,0
2264,Add rate limiting,Protect endpoints with request limits,2025-04-30,2025-05-02,2025-05-08,2025-05-08,441,DONE,LOW,100.0,api,user12,67,493
2265,Debug memory leak,Track and fix memory usage issue,2024-12-16,2024-12-17,2024-12-24,,137,TO_DO,MEDIUM,0.0,bug,"user29, user30, user46",100,0
2266,Debug memory leak,Track and fix memory usage issue,2025-02-28,2025-03-02,2025-03-22,,242,IN_PROGRESS,LOW,41.6,bug,"user12, user47, user29",33,189
2267,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-01-06,2025-01-08,2025-01-25,2025-01-23,353,DONE,LOW,100.0,frontend,"user41, user22, user34",3,342
2268,Write unit tests,Cover business logic with JUnit,2025-03-23,2025-03-23,2025-03-28,,368,CANCELLED,HIGH,14.6,testing,"user2, user48, user33",37,0
2269,Document API,Write OpenAPI docs for endpoints,2025-05-08,2025-05-10,2025-05-30,2025-05-28,347,DONE,LOW,100.0,api,user11,71,307
2270,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-04-17,2025-04-18,2025-04-25,,2565,TO_DO,MEDIUM,0.0,devops,"user50, user11, user40",49,0
2271,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-02-24,2025-02-24,2025-03-06,,533,TO_DO,LOW,0.0,devops,user29,100,0
2272,Apply security patch,Update libraries for vulnerability,2025-03-13,2025-03-13,2025-03-25,,470,ARCHIVED,HIGH,100.0,security,user40,90,0
2273,Migrate data,Transfer data from legacy system,2024-11-11,2024-11-13,2024-11-18,,330,CANCELLED,HIGH,6.7,database,user44,31,0
2274,Write unit tests,Cover business logic with JUnit,2024-12-09,2024-12-10,2024-12-28,,479,BLOCKED,MEDIUM,0.2,testing,"user17, user35, user23",94,0
2275,Implement JWT auth,Add token-based authentication,2024-11-22,2024-11-25,2024-12-15,,294,IN_PROGRESS,MEDIUM,87.6,security,"user19, user18, user28",73,125
2276,Migrate data,Transfer data from legacy system,2025-04-21,2025-04-26,2025-05-02,2025-05-01,174,DONE,LOW,100.0,database,"user3, user27, user19",88,143
2277,Immediate API fix,Resolve endpoint failure immediately,2024-12-28,2024-12-30,2025-01-12,,1016,IN_PROGRESS,CRITICAL,76.8,urgent,"user27, user48, user19",52,416
2278,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-11,2025-03-13,2025-03-27,2025-03-26,121,DONE,LOW,100.0,frontend,"user12, user31, user24",29,117
2279,Add rate limiting,Protect endpoints with request limits,2025-03-21,2025-03-21,2025-03-30,,411,IN_PROGRESS,HIGH,32.0,api,"user30, user13, user43",32,234
2280,Fix login bug,Resolve null pointer in login logic,2024-11-26,2024-11-26,2024-12-16,,63,TO_DO,HIGH,0.0,bug,user2,78,0
2281,Implement React component,Create responsive component with hooks,2025-03-03,2025-03-04,2025-03-11,,200,TO_DO,HIGH,0.0,frontend,"user30, user36",74,0
2282,Write unit tests,Cover business logic with JUnit,2024-11-17,2024-11-18,2024-11-26,,78,ARCHIVED,MEDIUM,100.0,testing,user16,65,0
2283,Urgent hotfix,Patch production bug under SLA,2025-04-03,2025-04-03,2025-04-14,,2146,IN_PROGRESS,HIGH,36.0,urgent,"user31, user50, user26",50,745
2284,Implement React component,Create responsive component with hooks,2025-02-13,2025-02-14,2025-02-22,,63,TO_DO,LOW,0.0,frontend,"user27, user26, user47",58,0
2285,Immediate API fix,Resolve endpoint failure immediately,2025-02-28,2025-03-03,2025-03-15,2025-03-15,2640,DONE,MEDIUM,100.0,urgent,"user14, user12, user25",15,2625
2286,Implement API endpoint,Develop REST endpoint for user service,2025-02-22,2025-02-27,2025-03-05,2025-03-04,1338,DONE,LOW,100.0,backend,user28,78,1139
2287,Debug memory leak,Track and fix memory usage issue,2025-01-28,2025-01-31,2025-02-10,,432,CANCELLED,HIGH,2.8,bug,"user24, user47",70,0
2288,Design schema,Create relational schema for new feature,2025-02-09,2025-02-09,2025-02-14,,373,IN_PROGRESS,CRITICAL,19.8,database,"user30, user34",98,252
2289,Setup integration tests,Test service interactions end-to-end,2025-01-12,2025-01-17,2025-02-01,,405,IN_PROGRESS,LOW,84.1,testing,"user7, user46, user1",8,277
2290,Urgent hotfix,Patch production bug under SLA,2025-01-18,2025-01-21,2025-02-02,,2505,IN_PROGRESS,LOW,54.2,urgent,"user19, user34, user36",68,772
2291,Implement React component,Create responsive component with hooks,2025-02-07,2025-02-08,2025-02-26,,152,IN_PROGRESS,LOW,11.3,frontend,"user16, user1, user42",38,117
2292,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-03-30,2025-04-04,2025-04-08,,1491,IN_PROGRESS,LOW,72.8,devops,user16,49,822
2293,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-15,2025-03-18,2025-03-21,,456,TO_DO,MEDIUM,0.0,frontend,user30,96,0
2294,Urgent hotfix,Patch production bug under SLA,2025-04-10,2025-04-15,2025-04-26,,2812,IN_PROGRESS,MEDIUM,32.6,urgent,user4,25,1057
2295,Apply security patch,Update libraries for vulnerability,2025-01-17,2025-01-22,2025-01-31,,141,TO_DO,MEDIUM,0.0,security,"user1, user45",38,0
2296,Implement React component,Create responsive component with hooks,2025-02-14,2025-02-17,2025-02-20,,448,IN_PROGRESS,HIGH,11.7,frontend,"user41, user14, user47",83,259
2297,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-12-07,2024-12-07,2024-12-12,,2097,TO_DO,LOW,0.0,devops,"user17, user5, user38",19,0
2298,Fix login bug,Resolve null pointer in login logic,2025-01-02,2025-01-03,2025-01-12,,335,IN_PROGRESS,MEDIUM,50.9,bug,"user19, user36, user38",7,213
2299,Document API,Write OpenAPI docs for endpoints,2025-03-15,2025-03-19,2025-04-01,,442,IN_PROGRESS,LOW,72.4,api,user40,28,228
2300,Fix login bug,Resolve null pointer in login logic,2025-01-12,2025-01-16,2025-01-26,,407,TO_DO,LOW,0.0,bug,"user35, user46, user27",68,0
2301,Document API,Write OpenAPI docs for endpoints,2025-04-05,2025-04-07,2025-04-24,2025-04-21,338,DONE,MEDIUM,100.0,api,"user32, user28",65,290
2302,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-05-08,2025-05-09,2025-05-13,,2604,TO_DO,CRITICAL,0.0,devops,"user15, user31, user20",81,0
2303,Implement JWT auth,Add token-based authentication,2025-03-15,2025-03-15,2025-03-18,,269,TO_DO,MEDIUM,0.0,security,"user7, user1, user47",74,0
2304,Urgent hotfix,Patch production bug under SLA,2025-05-05,2025-05-05,2025-05-23,,1233,TO_DO,MEDIUM,0.0,urgent,"user26, user16, user9",78,0
2305,Migrate data,Transfer data from legacy system,2025-03-21,2025-03-24,2025-04-01,2025-04-01,278,DONE,CRITICAL,100.0,database,"user50, user45",87,275
2306,Immediate API fix,Resolve endpoint failure immediately,2025-02-08,2025-02-08,2025-02-17,,1889,TO_DO,MEDIUM,0.0,urgent,user33,28,0
2307,Urgent hotfix,Patch production bug under SLA,2025-03-24,2025-03-25,2025-04-07,,1443,TO_DO,HIGH,0.0,urgent,"user22, user20, user35",68,0
2308,Immediate API fix,Resolve endpoint failure immediately,2025-04-14,2025-04-14,2025-04-18,2025-04-17,689,DONE,LOW,100.0,urgent,"user9, user48",22,619
2309,Urgent hotfix,Patch production bug under SLA,2024-11-19,2024-11-23,2024-12-03,,2160,TO_DO,HIGH,0.0,urgent,"user17, user6",57,0
2310,Document API,Write OpenAPI docs for endpoints,2024-12-03,2024-12-08,2024-12-17,2024-12-14,182,DONE,MEDIUM,100.0,api,"user43, user38, user3",36,207
2311,Document API,Write OpenAPI docs for endpoints,2025-05-01,2025-05-06,2025-05-25,,219,TO_DO,LOW,0.0,api,"user13, user20",2,0
2312,Apply security patch,Update libraries for vulnerability,2024-12-22,2024-12-24,2025-01-13,,148,TO_DO,HIGH,0.0,security,"user26, user37, user43",70,0
2313,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-28,2025-03-29,2025-04-03,,428,IN_PROGRESS,MEDIUM,72.7,frontend,"user20, user9",47,340
2314,Design schema,Create relational schema for new feature,2025-04-14,2025-04-17,2025-05-03,2025-05-02,371,DONE,CRITICAL,100.0,database,user44,57,396
2315,Urgent hotfix,Patch production bug under SLA,2024-12-10,2024-12-15,2024-12-23,,1744,IN_PROGRESS,MEDIUM,34.3,urgent,user15,94,844
2316,Implement API endpoint,Develop REST endpoint for user service,2025-02-03,2025-02-04,2025-02-19,,2752,IN_PROGRESS,MEDIUM,22.9,backend,"user14, user48, user44",30,1453
2317,Debug memory leak,Track and fix memory usage issue,2025-05-07,2025-05-12,2025-05-18,,370,TO_DO,HIGH,0.0,bug,user43,74,0
2318,Implement API endpoint,Develop REST endpoint for user service,2025-02-13,2025-02-15,2025-02-27,,978,TO_DO,HIGH,0.0,backend,"user4, user9, user30",87,0
2319,Optimize DB queries,Improve performance of complex joins,2025-02-11,2025-02-16,2025-03-02,,1697,IN_PROGRESS,MEDIUM,89.5,backend,"user43, user27, user6",44,1308
2320,Implement API endpoint,Develop REST endpoint for user service,2025-03-19,2025-03-20,2025-04-05,,1330,BLOCKED,LOW,19.9,backend,user41,9,0
2321,Document API,Write OpenAPI docs for endpoints,2024-12-13,2024-12-15,2024-12-29,,152,IN_PROGRESS,LOW,86.4,api,"user48, user11",73,52
2322,Setup integration tests,Test service interactions end-to-end,2025-01-05,2025-01-07,2025-01-20,2025-01-18,280,DONE,MEDIUM,100.0,testing,user29,91,269
2323,Apply security patch,Update libraries for vulnerability,2025-02-19,2025-02-19,2025-03-03,,222,TO_DO,HIGH,0.0,security,user36,37,0
2324,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-01-09,2025-01-13,2025-01-28,,265,IN_PROGRESS,LOW,35.2,frontend,"user40, user5",32,91
2325,Debug memory leak,Track and fix memory usage issue,2024-11-20,2024-11-20,2024-11-29,2024-11-29,322,DONE,HIGH,100.0,bug,"user34, user1",21,354
2326,Migrate data,Transfer data from legacy system,2025-01-29,2025-01-31,2025-02-16,2025-02-14,449,DONE,HIGH,100.0,database,"user3, user25, user28",79,493
2327,Design schema,Create relational schema for new feature,2025-04-08,2025-04-09,2025-04-13,,351,IN_PROGRESS,LOW,41.3,database,"user12, user11",50,237
2328,Apply security patch,Update libraries for vulnerability,2024-12-09,2024-12-10,2024-12-17,2024-12-16,108,DONE,MEDIUM,100.0,security,user40,12,124
2329,Apply security patch,Update libraries for vulnerability,2025-01-24,2025-01-24,2025-02-04,,124,IN_PROGRESS,HIGH,28.6,security,"user10, user37",99,80
2330,Urgent hotfix,Patch production bug under SLA,2025-04-03,2025-04-03,2025-04-06,,2098,TO_DO,MEDIUM,0.0,urgent,"user42, user1, user36",83,0
2331,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-28,2025-03-30,2025-04-07,,110,IN_PROGRESS,LOW,63.7,frontend,"user6, user21",87,36
2332,Implement React component,Create responsive component with hooks,2025-02-19,2025-02-20,2025-02-25,2025-02-22,375,DONE,HIGH,100.0,frontend,"user6, user27",78,380
2333,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-19,2025-03-19,2025-03-24,,88,TO_DO,LOW,0.0,frontend,"user40, user24",11,0
2334,Fix login bug,Resolve null pointer in login logic,2024-11-21,2024-11-23,2024-12-13,,337,IN_PROGRESS,LOW,19.0,bug,user33,90,158
2335,Write unit tests,Cover business logic with JUnit,2025-02-23,2025-02-27,2025-03-18,,411,TO_DO,LOW,0.0,testing,"user19, user47",74,0
2336,Apply security patch,Update libraries for vulnerability,2025-04-04,2025-04-07,2025-04-17,,358,TO_DO,MEDIUM,0.0,security,user18,61,0
2337,Setup integration tests,Test service interactions end-to-end,2024-12-21,2024-12-23,2025-01-10,,241,IN_PROGRESS,HIGH,82.4,testing,"user5, user36",53,150
2338,Implement API endpoint,Develop REST endpoint for user service,2025-05-12,2025-05-17,2025-06-01,,1492,IN_PROGRESS,CRITICAL,46.6,backend,"user1, user13",11,919
2339,Setup integration tests,Test service interactions end-to-end,2025-04-14,2025-04-19,2025-05-01,2025-04-28,121,DONE,MEDIUM,100.0,testing,user11,71,132
2340,Migrate data,Transfer data from legacy system,2025-05-12,2025-05-15,2025-05-20,,228,IN_PROGRESS,MEDIUM,63.4,database,"user1, user10, user39",78,84
2341,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-05-02,2025-05-04,2025-05-15,,456,TO_DO,HIGH,0.0,frontend,user46,45,0
2342,Implement React component,Create responsive component with hooks,2024-12-27,2024-12-30,2025-01-14,,160,TO_DO,LOW,0.0,frontend,user25,45,0
2343,Document API,Write OpenAPI docs for endpoints,2024-12-10,2024-12-13,2024-12-23,,414,TO_DO,CRITICAL,0.0,api,user23,9,0
2344,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-11-29,2024-12-03,2024-12-12,,1896,IN_PROGRESS,CRITICAL,58.5,devops,user31,20,865
2345,Implement React component,Create responsive component with hooks,2025-04-29,2025-05-04,2025-05-23,,250,TO_DO,MEDIUM,0.0,frontend,"user3, user26, user12",31,0
2346,Apply security patch,Update libraries for vulnerability,2025-04-24,2025-04-25,2025-05-08,,401,ARCHIVED,MEDIUM,100.0,security,user3,100,0
2347,Migrate data,Transfer data from legacy system,2025-04-13,2025-04-17,2025-05-03,,131,IN_PROGRESS,HIGH,87.7,database,"user18, user19, user22",76,90
2348,Debug memory leak,Track and fix memory usage issue,2024-11-15,2024-11-19,2024-11-30,,323,ARCHIVED,LOW,100.0,bug,"user6, user5",65,0
2349,Implement API endpoint,Develop REST endpoint for user service,2025-05-05,2025-05-10,2025-05-14,,1762,TO_DO,LOW,0.0,backend,"user39, user31, user44",57,0
2350,Debug memory leak,Track and fix memory usage issue,2025-04-08,2025-04-10,2025-04-14,,70,IN_PROGRESS,MEDIUM,45.1,bug,"user5, user13, user11",44,25
2351,Debug memory leak,Track and fix memory usage issue,2025-05-01,2025-05-01,2025-05-09,,365,TO_DO,MEDIUM,0.0,bug,user24,16,0
2352,Optimize DB queries,Improve performance of complex joins,2025-01-21,2025-01-23,2025-02-10,2025-02-07,2454,DONE,HIGH,100.0,backend,"user33, user48, user22",43,2378
2353,Apply security patch,Update libraries for vulnerability,2025-04-22,2025-04-27,2025-05-03,,427,TO_DO,CRITICAL,0.0,security,user42,4,0
2354,Urgent hotfix,Patch production bug under SLA,2024-11-17,2024-11-21,2024-11-29,2024-11-29,778,DONE,MEDIUM,100.0,urgent,"user32, user1",86,820
2355,Optimize DB queries,Improve performance of complex joins,2025-01-02,2025-01-04,2025-01-24,,1993,IN_PROGRESS,LOW,33.1,backend,"user35, user2",36,1274
2356,Apply security patch,Update libraries for vulnerability,2025-02-07,2025-02-07,2025-02-24,,403,TO_DO,LOW,0.0,security,user15,43,0
2357,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-03-30,2025-04-02,2025-04-10,2025-04-07,1602,DONE,HIGH,100.0,devops,"user7, user45, user22",59,1841
2358,Setup integration tests,Test service interactions end-to-end,2025-01-15,2025-01-19,2025-02-04,,435,ARCHIVED,LOW,100.0,testing,user47,62,0
2359,Document API,Write OpenAPI docs for endpoints,2025-04-17,2025-04-22,2025-05-01,,194,TO_DO,MEDIUM,0.0,api,user18,41,0
2360,Configure Docker,Containerize the application,2025-01-05,2025-01-08,2025-01-11,,911,IN_PROGRESS,HIGH,65.0,devops,user27,96,451
2361,Document API,Write OpenAPI docs for endpoints,2025-03-06,2025-03-07,2025-03-22,,149,TO_DO,HIGH,0.0,api,user15,54,0
2362,Immediate API fix,Resolve endpoint failure immediately,2025-01-26,2025-01-31,2025-02-11,2025-02-08,1777,DONE,MEDIUM,100.0,urgent,user25,13,1778
2363,Design schema,Create relational schema for new feature,2025-01-09,2025-01-09,2025-01-24,,72,IN_PROGRESS,MEDIUM,69.4,database,user35,58,33
2364,Optimize DB queries,Improve performance of complex joins,2025-02-19,2025-02-23,2025-03-09,,2859,BLOCKED,MEDIUM,13.6,backend,user2,60,0
2365,Document API,Write OpenAPI docs for endpoints,2025-02-18,2025-02-19,2025-03-03,,312,IN_PROGRESS,HIGH,54.8,api,user15,31,135
2366,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-01-07,2025-01-10,2025-01-17,,191,TO_DO,MEDIUM,0.0,frontend,"user41, user37",95,0
2367,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-25,2025-03-27,2025-04-08,,344,TO_DO,CRITICAL,0.0,frontend,user13,58,0
2368,Configure Docker,Containerize the application,2025-04-12,2025-04-14,2025-04-19,,2574,IN_PROGRESS,HIGH,11.0,devops,user10,17,1838
2369,Migrate data,Transfer data from legacy system,2025-03-27,2025-03-29,2025-04-08,2025-04-07,317,DONE,LOW,100.0,database,"user16, user14, user45",40,301
2370,Fix login bug,Resolve null pointer in login logic,2025-01-18,2025-01-22,2025-01-28,,480,BLOCKED,HIGH,28.4,bug,"user16, user11",34,0
2371,Immediate API fix,Resolve endpoint failure immediately,2024-12-16,2024-12-20,2024-12-27,,2602,IN_PROGRESS,HIGH,77.2,urgent,"user1, user45",86,1542
2372,Optimize DB queries,Improve performance of complex joins,2025-01-31,2025-02-03,2025-02-17,,1051,IN_PROGRESS,MEDIUM,82.6,backend,user39,20,551
2373,Debug memory leak,Track and fix memory usage issue,2025-03-22,2025-03-26,2025-04-12,2025-04-10,178,DONE,MEDIUM,100.0,bug,"user28, user24, user9",75,169
2374,Add rate limiting,Protect endpoints with request limits,2025-03-30,2025-04-01,2025-04-14,2025-04-11,337,DONE,MEDIUM,100.0,api,user6,32,279
2375,Immediate API fix,Resolve endpoint failure immediately,2024-11-23,2024-11-27,2024-12-08,,1278,ARCHIVED,MEDIUM,100.0,urgent,user37,34,0
2376,Debug memory leak,Track and fix memory usage issue,2025-04-23,2025-04-27,2025-05-01,,141,TO_DO,MEDIUM,0.0,bug,"user47, user6, user23",92,0
2377,Immediate API fix,Resolve endpoint failure immediately,2025-01-06,2025-01-11,2025-01-29,,1594,IN_PROGRESS,CRITICAL,86.0,urgent,user13,100,1083
2378,Setup integration tests,Test service interactions end-to-end,2025-04-20,2025-04-23,2025-05-07,2025-05-05,238,DONE,LOW,100.0,testing,"user11, user35, user21",91,233
2379,Design schema,Create relational schema for new feature,2025-04-15,2025-04-15,2025-04-20,,126,CANCELLED,MEDIUM,9.3,database,"user2, user28",78,0
2380,Migrate data,Transfer data from legacy system,2025-01-28,2025-01-29,2025-02-02,,131,IN_PROGRESS,CRITICAL,12.0,database,"user24, user8",12,61
2381,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-02-17,2025-02-18,2025-03-02,,2315,TO_DO,MEDIUM,0.0,devops,user24,34,0
2382,Configure Docker,Containerize the application,2024-12-16,2024-12-18,2025-01-03,,1654,BLOCKED,MEDIUM,7.8,devops,user32,21,0
2383,Urgent hotfix,Patch production bug under SLA,2025-04-01,2025-04-04,2025-04-20,2025-04-17,1242,DONE,MEDIUM,100.0,urgent,user44,96,1363
2384,Debug memory leak,Track and fix memory usage issue,2024-12-03,2024-12-08,2024-12-16,,420,TO_DO,HIGH,0.0,bug,"user4, user5",35,0
2385,Document API,Write OpenAPI docs for endpoints,2025-01-26,2025-01-27,2025-02-14,2025-02-14,165,DONE,LOW,100.0,api,"user32, user7",55,197
2386,Immediate API fix,Resolve endpoint failure immediately,2024-12-18,2024-12-21,2024-12-24,,2024,IN_PROGRESS,MEDIUM,44.7,urgent,"user2, user22",17,981
2387,Urgent hotfix,Patch production bug under SLA,2024-12-09,2024-12-11,2024-12-24,,1134,IN_PROGRESS,MEDIUM,60.5,urgent,"user47, user16",36,607
2388,Optimize DB queries,Improve performance of complex joins,2024-12-12,2024-12-13,2025-01-02,,2152,TO_DO,LOW,0.0,backend,user48,2,0
2389,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-05-01,2025-05-02,2025-05-19,,181,TO_DO,MEDIUM,0.0,frontend,"user49, user32, user25",22,0
2390,Optimize DB queries,Improve performance of complex joins,2024-12-31,2025-01-02,2025-01-09,,2478,TO_DO,MEDIUM,0.0,backend,"user50, user36",21,0
2391,Fix login bug,Resolve null pointer in login logic,2025-05-05,2025-05-05,2025-05-09,,107,IN_PROGRESS,MEDIUM,73.5,bug,"user42, user33, user49",37,57
2392,Design schema,Create relational schema for new feature,2025-05-07,2025-05-08,2025-05-17,,235,IN_PROGRESS,LOW,16.2,database,"user19, user16, user5",92,179
2393,Write unit tests,Cover business logic with JUnit,2024-12-27,2024-12-28,2025-01-12,,292,TO_DO,HIGH,0.0,testing,"user44, user31",56,0
2394,Debug memory leak,Track and fix memory usage issue,2025-05-10,2025-05-10,2025-05-14,,480,TO_DO,MEDIUM,0.0,bug,user49,97,0
2395,Add rate limiting,Protect endpoints with request limits,2024-12-19,2024-12-23,2025-01-09,,218,TO_DO,MEDIUM,0.0,api,user18,25,0
2396,Setup integration tests,Test service interactions end-to-end,2025-03-23,2025-03-25,2025-03-28,2025-03-25,354,DONE,MEDIUM,100.0,testing,user50,42,308
2397,Optimize DB queries,Improve performance of complex joins,2025-03-14,2025-03-16,2025-03-28,,2690,TO_DO,MEDIUM,0.0,backend,"user7, user43, user16",6,0
2398,Fix CSS layout issue,Resolve flexbox misalignment in UI,2024-11-18,2024-11-21,2024-12-09,2024-12-08,263,DONE,LOW,100.0,frontend,user32,98,240
2399,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-11-20,2024-11-23,2024-12-03,,788,TO_DO,MEDIUM,0.0,devops,"user13, user39",79,0
2400,Immediate API fix,Resolve endpoint failure immediately,2025-03-22,2025-03-27,2025-04-03,,1892,IN_PROGRESS,MEDIUM,31.3,urgent,user20,40,612
2401,Urgent hotfix,Patch production bug under SLA,2025-03-07,2025-03-10,2025-03-17,,1642,TO_DO,LOW,0.0,urgent,user1,99,0
2402,Implement React component,Create responsive component with hooks,2025-05-02,2025-05-05,2025-05-09,,231,BLOCKED,HIGH,23.4,frontend,user2,67,0
2403,Optimize DB queries,Improve performance of complex joins,2024-12-24,2024-12-24,2025-01-05,,1973,IN_PROGRESS,MEDIUM,15.9,backend,"user11, user47, user27",16,1073
2404,Implement React component,Create responsive component with hooks,2024-11-27,2024-11-27,2024-12-07,,196,TO_DO,MEDIUM,0.0,frontend,"user5, user15, user44",96,0
2405,Immediate API fix,Resolve endpoint failure immediately,2025-04-22,2025-04-27,2025-05-05,2025-05-05,2728,DONE,LOW,100.0,urgent,"user7, user28, user43",93,2919
2406,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-12-22,2024-12-25,2025-01-10,,2047,TO_DO,MEDIUM,0.0,devops,"user40, user33, user38",62,0
2407,Implement React component,Create responsive component with hooks,2025-04-16,2025-04-19,2025-04-23,2025-04-20,447,DONE,MEDIUM,100.0,frontend,"user31, user26",24,504
2408,Add rate limiting,Protect endpoints with request limits,2025-01-14,2025-01-15,2025-02-04,2025-02-02,207,DONE,HIGH,100.0,api,user1,94,199
2409,Implement React component,Create responsive component with hooks,2025-02-05,2025-02-05,2025-02-11,,478,IN_PROGRESS,LOW,65.1,frontend,user26,8,314
2410,Fix login bug,Resolve null pointer in login logic,2025-01-24,2025-01-26,2025-02-15,2025-02-15,231,DONE,MEDIUM,100.0,bug,"user33, user22",89,219
2411,Implement JWT auth,Add token-based authentication,2024-12-05,2024-12-05,2024-12-08,2024-12-08,175,DONE,MEDIUM,100.0,security,user12,76,199
2412,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-02-28,2025-03-05,2025-03-20,,361,TO_DO,MEDIUM,0.0,frontend,user5,97,0
2413,Write unit tests,Cover business logic with JUnit,2025-02-07,2025-02-11,2025-02-14,2025-02-12,331,DONE,HIGH,100.0,testing,"user42, user50, user3",75,295
2414,Implement JWT auth,Add token-based authentication,2024-12-01,2024-12-04,2024-12-11,,111,IN_PROGRESS,LOW,22.0,security,"user25, user31, user43",98,45
2415,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-03-25,2025-03-30,2025-04-08,,2486,IN_PROGRESS,LOW,20.6,devops,"user41, user1",37,1705
2416,Apply security patch,Update libraries for vulnerability,2025-05-05,2025-05-05,2025-05-24,,329,IN_PROGRESS,LOW,80.5,security,"user18, user8",79,171
2417,Implement React component,Create responsive component with hooks,2024-12-22,2024-12-24,2025-01-08,,104,TO_DO,HIGH,0.0,frontend,user43,43,0
2418,Implement API endpoint,Develop REST endpoint for user service,2024-12-22,2024-12-27,2025-01-14,,859,TO_DO,LOW,0.0,backend,"user6, user47",61,0
2419,Write unit tests,Cover business logic with JUnit,2025-02-26,2025-02-27,2025-03-03,,223,IN_PROGRESS,MEDIUM,87.8,testing,"user40, user31, user21",79,115
2420,Setup integration tests,Test service interactions end-to-end,2024-12-31,2025-01-04,2025-01-14,,212,IN_PROGRESS,LOW,64.1,testing,user47,3,148
2421,Design schema,Create relational schema for new feature,2025-01-12,2025-01-15,2025-02-04,2025-02-04,258,DONE,HIGH,100.0,database,user35,24,260
2422,Apply security patch,Update libraries for vulnerability,2024-11-27,2024-12-01,2024-12-04,,395,TO_DO,MEDIUM,0.0,security,user46,22,0
2423,Add rate limiting,Protect endpoints with request limits,2024-12-18,2024-12-21,2024-12-28,2024-12-28,74,DONE,CRITICAL,100.0,api,user34,70,72
2424,Optimize DB queries,Improve performance of complex joins,2025-02-01,2025-02-04,2025-02-17,2025-02-15,2751,DONE,MEDIUM,100.0,backend,"user25, user43",92,2890
2425,Fix login bug,Resolve null pointer in login logic,2024-11-19,2024-11-21,2024-12-10,,113,TO_DO,LOW,0.0,bug,"user42, user26, user36",88,0
2426,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-03-29,2025-03-29,2025-04-08,,1495,IN_PROGRESS,HIGH,23.7,devops,user27,62,1013
